sentiment,text
neg,"as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction ."
neg,a terrible movie that some people will nevertheless find moving .
pos,"it's nice to see piscopo again after all these years , and chaykin and headly are priceless ."
pos,mazel tov to a film about a family's joyous life acting on the yiddish stage .
pos,"provides a porthole into that noble , trembling incoherence that defines us all ."
neg,"enigma is well-made , but it's just too dry and too placid ."
pos,"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece ."
neg,there are many definitions of 'time waster' but this movie must surely be one of them .
neg,the thing looks like a made-for-home-video quickie .
pos,"standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow ."
